Season,DowntownLA,LAX,SanFrancisco
1849-1850,,,33.1
1850-1851,,,7.42
1851-1852,,,18.55
1852-1853,,,35.26
1853-1854,,,23.87
1854-1855,,,23.83
1855-1856,,,21.66
1856-1857,,,19.91
1857-1858,,,21.81
1858-1859,,,22.22
1859-1860,,,22.27
1860-1861,,,19.72
1861-1862,,,49.27
1862-1863,,,13.74
1863-1864,,,10.08
1864-1865,,,24.73
1865-1866,,,22.93
1866-1867,,,34.92
1867-1868,,,38.84
1868-1869,,,21.35
1869-1870,,,19.31
1870-1871,,,14.11
1871-1872,,,30.78
1872-1873,,,15.66
1873-1874,,,24.73
1874-1875,,,20.56
1875-1876,,,31.19
1876-1877,,,11.04
1877-1878,21.26,,35.18
1878-1879,11.35,,24.44
1879-1880,20.34,,26.66
1880-1881,13.13,,29.86
1881-1882,10.4,,16.14
1882-1883,12.11,,20.12
1883-1884,38.18,,32.32
1884-1885,9.21,,18.1
1885-1886,22.31,,33.05
1886-1887,14.05,,19.04
1887-1888,13.87,,16.74
1888-1889,19.28,,23.86
1889-1890,34.84,,45.85
1890-1891,13.36,,17.58
1891-1892,11.85,,18.53
1892-1893,26.28,,21.75
1893-1894,6.73,,18.47
1894-1895,16.11,,25.7
1895-1896,8.51,,21.25
1896-1897,16.86,,23.43
1897-1898,7.06,,9.38
1898-1899,5.59,,16.87
1899-1900,7.91,,18.47
1900-1901,16.29,,21.17
1901-1902,10.6,,18.98
1902-1903,19.32,,18.28
1903-1904,8.72,,20.59
1904-1905,19.52,,23.45
1905-1906,18.65,,20.42
1906-1907,19.3,,26.17
1907-1908,11.72,,17.35
1908-1909,19.18,,25.57
1909-1910,12.63,,19.52
1910-1911,16.18,,25.49
1911-1912,11.6,,14.06
1912-1913,13.42,,11.97
1913-1914,23.65,,29.6
1914-1915,17.05,,27.41
1915-1916,19.92,,27.12
1916-1917,15.26,,15.78
1917-1918,13.86,,11.48
1918-1919,8.58,,25.64
1919-1920,12.52,,10.46
1920-1921,13.71,,23.16
1921-1922,19.66,,19.91
1922-1923,9.59,,22.17
1923-1924,6.67,,11.62
1924-1925,7.38,,30.81
1925-1926,17.56,,20.69
1926-1927,17.44,,25.43
1927-1928,9.77,,19.64
1928-1929,12.66,,15.21
1929-1930,12.5,,16.28
1930-1931,12.53,,13.54
1931-1932,16.95,,21.09
1932-1933,11.84,,14.93
1933-1934,14.55,,12.91
1934-1935,21.66,,23.22
1935-1936,12.07,,24.96
1936-1937,22.41,,22.39
1937-1938,23.43,,25.48
1938-1939,13.06,,12.53
1939-1940,18.96,,27.17
1940-1941,32.76,,35.05
1941-1942,11.18,,26.66
1942-1943,19.17,,21.88
1943-1944,19.21,,17.86
1944-1945,11.58,10.5,21.82
1945-1946,12.13,9.81,21.64
1946-1947,12.61,13.46,14.89
1947-1948,7.22,5.36,15.59
1948-1949,7.99,7.97,18.28
1949-1950,10.6,9.15,16.78
1950-1951,8.21,6.64,24.0
1951-1952,26.21,19.12,32.56
1952-1953,9.46,8.55,21.1
1953-1954,11.99,12.19,14.27
1954-1955,11.94,9.87,15.74
1955-1956,16.0,13.51,27.17
1956-1957,9.54,8.93,15.04
1957-1958,21.13,18.91,36.48
1958-1959,5.58,5.6,10.46
1959-1960,8.18,9.16,15.47
1960-1961,4.85,4.48,13.87
1961-1962,18.79,18.22,17.65
1962-1963,8.38,9.29,22.15
1963-1964,7.93,7.51,12.32
1964-1965,13.69,10.27,22.29
1965-1966,20.44,12.62,16.33
1966-1967,22.0,13.54,29.41
1967-1968,16.58,14.5,14.46
1968-1969,27.47,16.18,25.09
1969-1970,7.77,5.67,20.8
1970-1971,12.32,9.92,18.79
1971-1972,7.17,6.43,11.06
1972-1973,21.26,17.35,34.36
1973-1974,14.92,10.93,27.96
1974-1975,14.35,11.28,18.33
1975-1976,7.22,4.37,8.05
1976-1977,12.31,12.47,11.08
1977-1978,33.44,28.55,27.86
1978-1979,19.67,14.99,18.7
1979-1980,26.98,21.02,24.57
1980-1981,8.98,8.36,14.63
1981-1982,10.71,13.18,36.63
1982-1983,31.25,25.61,38.17
1983-1984,10.43,10.65,22.47
1984-1985,12.82,9.6,20.01
1985-1986,17.86,18.69,28.68
1986-1987,7.66,6.01,13.86
1987-1988,12.48,8.91,17.74
1988-1989,8.08,6.55,17.43
1989-1990,7.35,6.07,14.32
1990-1991,11.47,8.02,14.08
1991-1992,21.0,14.79,19.2
1992-1993,27.36,23.66,26.66
1993-1994,8.11,8.21,15.22
1994-1995,24.35,22.8,34.02
1995-1996,12.46,10.29,24.89
1996-1997,12.4,13.3,22.63
1997-1998,31.01,31.28,47.22
1998-1999,9.09,9.27,23.49
1999-2000,11.57,10.11,24.89
2000-2001,17.94,15.56,19.47
2001-2002,4.42,4.16,25.03
2002-2003,16.49,10.38,23.87
2003-2004,9.24,8.61,20.54
2004-2005,37.25,26.51,31.87
2005-2006,13.19,10.89,34.42
2006-2007,3.21,2.63,16.89
2007-2008,13.53,10.24,17.35
2008-2009,9.08,8.13,18.11
2009-2010,16.36,12.42,24.09
2010-2011,20.2,17.85,28.87
2011-2012,8.69,7.61,15.64
2012-2013,5.85,6.89,16.61
2013-2014,6.08,4.45,12.54
2014-2015,8.52,7.45,18.19
2015-2016,9.65,9.41,23.26
2016-2017,19.0,16.33,32.34
2017-2018,4.79,3.87,17.53
2018-2019,18.82,16.94,25.72
2019-2020,14.86,13.19,11.7
2020-2021,5.82,5.0,8.96
